No.,Name,%,Candidate,Party,Votes,%,Candidate,Party,Votes,%,Margin
207,Aruppukkottai,76.49,Sattur Ramachandran,DMK,"91,040",53.18,Vaigaichelvan,ADMK,"52,006",30.38,"39,034"
208,Tiruchuli,78.65,Thangam Thennarasu,DMK,"102,225",59.15,S. Rajasekar,ADMK,"41,233",23.86,"60,992"
209,Paramakudi(SC),71.11,S. Murugesan,DMK,"84,864",46.59,N. Sadhan Prabhakar,ADMK,"71,579",39.30,"13,285"
210,Tiruvadanai,69.30,R. M. Karumanikam,INC,"79,364",39.33,K. C. Animuthu,ADMK,"65,512",32.46,"13,852"
211,Ramanathapuram,69.41,K. Muthuramalingam,DMK,"111,082",51.88,D. Kuppuram,BJP,"60,603",28.31,"50,479"
212,Mudhukulathur,71.13,R. S. Raja Kannappan,DMK,"101,901",46.06,Keerthika Muniyasamy,ADMK,"81,180",36.70,"20,721"
213,Vilathikulam,77.06,G. V. Markandayan,DMK,"90,348",54.05,P. Chinnappan,ADMK,"51,799",30.99,"38,549"
214,Thoothukkudi,65.99,P. Geetha Jeevan,DMK,"92,314",49.00,S. D. R. Vijayaseelan,ADMK,"42,004",22.29,"50,310"
215,Tiruchendur,71.20,Anitha R. Radhakrishnan,DMK,"88,274",50.58,M. Radhakrishnan,ADMK,"63,011",36.10,"25,263"
216,Srivaikuntam,73.16,Oorvasi S. Amirtharaj,INC,"76,843",46.75,S. P. Shanmuganathan,ADMK,"59,471",36.18,"17,372"
217,Ottapidaram(SC),70.68,M. C. Shunmugaiah,DMK,"73,110",41.11,P. Mohan,ADMK,"64,600",36.32,"8,510"
218,Kovilpatti,67.86,Kadambur C. Raju,ADMK,"68,556",37.89,T. T. V. Dhinakaran,AMMK,"56,153",31.04,"12,403"
219,Sankarankovil(SC),72.11,E. Raja,DMK,"71,347",38.92,V. M. Rajalakshmi,ADMK,"66,050",36.03,"5,297"
220,Vasudevanallur(SC),72.75,Dr. T. Sadhan Tirumalaikumar,DMK,"68,730",39.08,A. Manoharan,ADMK,"66,363",37.70,"2,367"
221,Kadayanallur,70.71,C. Krishnamurali,ADMK,"88,474",43.08,K. A. M. Muhammed Abubacker,IUML,"64,125",31.22,"24,349"
222,Tenkasi,73.19,S. Palani Nadar,INC,"89,315",41.71,S. Selvamohandas Pandian,ADMK,"88,945",41.54,370
223,Alangulam,78.05,P. H. Manoj Pandian,ADMK,"74,153",36.44,Dr.Poongothai Aladi Aruna,DMK,"70,614",34.70,"3,539"
224,Tirunelveli,67.57,Nainar Nagendran,BJP,"92,282",46.70,A. L. S. Lakshmanan,DMK,"69,175",35.01,"23,107"
225,Ambasamudram,72.52,E. Subaya,ADMK,"85,211",47.96,R. Avudaiappan,DMK,"68,296",38.44,"16,915"
226,Palayamkottai,58.89,M. Abdul Wahab,DMK,"89,117",55.32,G. Gerald,ADMK,"36,976",22.95,"52,141"
227,Nanguneri,69.29,Ruby R. Manoharan,INC,"75,902",39.43,Ganesa Raja,ADMK,"59,416",30.86,"16,486"
228,Radhapuram,69.18,M. Appavu,DMK,"82,331",43.95,I.S. Inbudurai,ADMK,"76,406",40.79,"5,925"
229,Kanniyakumari,76.66,N. Thalavai Sundaram,ADMK,"109,745",48.80,S. Austin,DMK,"93,532",41.59,"16,213"
230,Nagercoil,68.00,M. R. Gandhi,BJP,"88,804",48.21,N. Suresh Rajan,DMK,"77,135",41.88,"11,669"
231,Colachel,67.95,J. G. Prince,INC,"90,681",49.56,P. Ramesh,BJP,"65,849",35.99,"24,832"
232,Padmanabhapuram,70.65,Mano Thangaraj,DMK,"87,744",51.57,D. John Thangam,ADMK,"60,859",35.77,"26,885"
233,Vilavancode,67.12,S. Vijayadharani,INC,"87,473",52.12,R. Jayaseelan,BJP,"58,804",35.04,"28,669"
234,Killiyoor,66.54,S. Rajeshkumar,INC,"101,541",59.76,K. V. Jude Dev,ADMK,"46,141",27.15,"55,400"
